ayah_no_quran,surah_no,ayah_no_surah,tafsir,arabic,text
3353,29,13,ibn_abbas,وَلَيَحْمِلُنَّ أَثْقَالَهُمْ وَأَثْقَالاً مَّعَ أَثْقَالِهِمْ وَلَيُسْأَلُنَّ يَوْمَ ٱلْقِيَامَةِ عَمَّا كَانُواْ يَفْتَرُونَ,"(But they verily will hear their own loads) their sins on the Day of Judgement (and other loads) the sins of those they misled (beside their own) in addition to their own sins, (and they verily will be questioned on the nay of Resurrection concerning that which they invented) concerning their lie against Allah."
3354,29,14,ibn_abbas,وَلَقَدْ أَرْسَلْنَا نُوحاً إِلَىٰ قَوْمِهِ فَلَبِثَ فِيهِمْ أَلْفَ سَنَةٍ إِلاَّ خَمْسِينَ عَاماً فَأَخَذَهُمُ ٱلطُّوفَانُ وَهُمْ ظَالِمُونَ,"(And verily We sent Noah (as Our messenger) unto his folk, and he continued with them for a thousand years save fifty years) calling them to profess Allah's divine Oneness but they did not respond to him; (and the flood engulfed them) and Allah destroyed them by the flood, (for they were wrong-doers) they were disbelievers."
3355,29,15,ibn_abbas,فأَنْجَيْناهُ وأَصْحَابَ ٱلسَّفِينَةِ وَجَعَلْنَاهَآ آيَةً لِّلْعَالَمِينَ,"(And We rescued him) Noah (and those with him in the ship) and those who believed in him who were aboard the ship, (and made of it) i.e. the ship of Noah (a portent) a lesson (for the peoples) after them."
3356,29,16,ibn_abbas,وَإِبْرَاهِيمَ إِذْ قَالَ لِقَوْمِهِ ٱعْبُدُواْ ٱللَّهَ وَٱتَّقُوهُ ذٰلِكُمْ خَيْرٌ لَّكُمْ إِن كُنتُمْ تَعْلَمُونَ,"(And Abraham! (Remember)) and We sent Abraham to his people (when he said unto his folk: serve Allah) declare Allah's divine Oneness, (and keep your duty unto Him) fear him and obey Him by repenting from disbelief, idolatry and idol worship; (that is better for you) than the state in which you are now (if ye did but know) this and believe in it; but neither do you know this nor believe in it."
3357,29,17,ibn_abbas,إِنَّمَا تَعْبُدُونَ مِن دُونِ ٱللَّهِ أَوْثَاناً وَتَخْلُقُونَ إِفْكاً إِنَّ ٱلَّذِينَ تَعْبُدُونَ مِن دُونِ ٱللَّهِ لاَ يَمْلِكُونَ لَكُمْ رِزْقاً فَٱبْتَغُواْ عِندَ ٱللَّهِ ٱلرِّزْقَ وَٱعْبُدُوهُ وَٱشْكُرُواْ لَهُ إِلَيْهِ تُرْجَعُونَ,"(Ye serve instead of Allah only idols) stones, (and ye only invent a lie) carving with your own hand what you worship beside Allah. (Lo! those whom ye serve instead of Allah) of idols (own no provision for you) they are unable to provide your sustenance. (So seek your provision from Allah, and serve Him) declare His divine Oneness, (and give thanks unto Him) through the profession of Allah's divine Oneness, ((for) unto Him ye will be brought back) after death and He will reward each according to his works."
3358,29,18,ibn_abbas,وَإِن تُكَذِّبُواْ فَقَدْ كَذَّبَ أُمَمٌ مِّن قَبْلِكُمْ وَمَا عَلَى ٱلرَّسُولِ إِلاَّ ٱلْبَلاَغُ ٱلْمُبِينُ,(But if ye deny) the message brought by Muhammad (pbuh) (then nations have denied before you) the messages brought by their messengers and We destroyed them as a consequence. (The messenger is only to convey (the Message) plainly) on behalf of Allah in a language they understand.
3359,29,19,ibn_abbas,أَوَلَمْ يَرَوْاْ كَيْفَ يُبْدِئُ ٱللَّهُ ٱلْخَلْقَ ثُمَّ يُعِيدُهُ إِنَّ ذٰلِكَ عَلَى ٱللَّهِ يَسِيرٌ,"(See they not) have the disbelievers of Mecca not been informed in the Book (how Allah produceth creation) from a sperm drop, (then reproduceth it) on the Day of Judgement? (Lo! for Allah that is easy) its production and reproduction is easy."
3360,29,20,ibn_abbas,قُلْ سِيرُواْ فِي ٱلأَرْضِ فَٱنظُرُواْ كَيْفَ بَدَأَ ٱلْخَلْقَ ثُمَّ ٱللَّهُ يُنشِىءُ ٱلنَّشْأَةَ ٱلآخِرَةَ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,"(Say) O Muhammad: (Travel in the land and see how He) how Allah (originated creation) from a sperm drop and then destroyed them after that, (then Allah bringeth forth the later growth) then Allah creates the creation on the Day of Judgement. (Lo! Allah is Able to do all things) of creation, resurrection, life and death."
3361,29,21,ibn_abbas,يُعَذِّبُ مَن يَشَآءُ وَيَرْحَمُ مَن يَشَآءُ وَإِلَيْهِ تُقْلَبُونَ,"(He punisheth whom He will) He makes die whoever He will as a disbeliever and thus torments him (and showeth mercy unto whom He will) and makes to die whoever He will as a believer and thus shows mercy upon him, (and unto Him ye will be turned) after death and He will reward each according to his works."
3362,29,22,ibn_abbas,وَمَآ أَنتُمْ بِمُعْجِزِينَ فِي ٱلأَرْضِ وَلاَ فِي ٱلسَّمَآءِ وَمَا لَكُمْ مِّن دُونِ ٱللَّهِ مِن وَلِيٍّ وَلاَ نَصِيرٍ,"(Ye cannot) O people of Mecca (escape) from His torment (in the earth) from the people of earth (or in the sky) or from the dwellers of the sky, (and beside Allah) beside Allah's punishment (there is for you no friend) to benefit you (nor helper) to save you from Allah's torment."
3363,29,23,ibn_abbas,وَٱلَّذِينَ كَفَرُواْ بِآيَاتِ ٱللَّهِ وَلِقَآئِهِ أُوْلَـٰئِكَ يَئِسُواْ مِن رَّحْمَتِي وَأُوْلَـٰئِكَ لَهُمْ عَذَابٌ أَلِيمٌ,"(Those who disbelieve in the revelations of Allah) those who disbelieve in Muhammad (pbuh) and in the Qur'an, i.e. the Jews, Christians and all other disbelievers (and in (their) Meeting with Him) and also disbelieve in resurrection after death, (such) who have these traits (have no hope of My mercy) of My Paradise; the reference here is to the Jews and Christians; they have no hope that in Paradise there will be food, drink and sexual intercourse. (For such there is a painful doom."
3364,29,24,ibn_abbas,فَمَا كَانَ جَوَابَ قَوْمِهِ إِلاَّ أَن قَالُواْ ٱقْتُلُوهُ أَوْ حَرِّقُوهُ فَأَنْجَاهُ ٱللَّهُ مِنَ ٱلنَّارِ إِنَّ فِي ذٰلِكَ لآيَاتٍ لِّقَوْمٍ يُؤْمِنُونَ,But the answer of his folk was) the response of Abraham's folk when he called them to believe in Allah was (only that they said: “Kill him” or “Burn him”.) or throw him in the Fire. (Then Allah saved him from the Fire) without harm. (Lo! Herein) in that which We did with the folk of Abraham (verily are portents) lessons (for folk who believe) in Muhammad (pbuh) and in the Qur'an.
3365,29,25,ibn_abbas,وَقَالَ إِنَّمَا ٱتَّخَذْتُمْ مِّن دُونِ ٱللَّهِ أَوْثَاناً مَّوَدَّةَ بَيْنِكُمْ فِي ٱلْحَيَاةِ ٱلدُّنْيَا ثُمَّ يَوْمَ ٱلْقِيَامَةِ يَكْفُرُ بَعْضُكُمْ بِبَعْضٍ وَيَلْعَنُ بَعْضُكُمْ بَعْضاً وَمَأْوَاكُمُ ٱلنَّارُ وَمَا لَكُمْ مِّن نَّاصِرِينَ,"(He said) Abraham said to his people: (Ye have chosen) you have worshipped (idols) stones (instead of Allah. The love) the connection (between you is only in the life of the world) it will not last. (Then on the Day of Resurrection ye will deny each other) you absolve yourselves from each other (and curse each other, and your abode) your destination (will be the Fire) i.e. the worshipper and the worshipped, (and ye will have no helpers) to save you from Allah's torment."
3366,29,26,ibn_abbas,فَآمَنَ لَهُ لُوطٌ وَقَالَ إِنِّي مُهَاجِرٌ إِلَىٰ رَبِّيۤ إِنَّهُ هُوَ ٱلْعَزِيزُ ٱلْحَكِيمُ,"(And Lot believed him) he believed in Abraham, (and said) and Abraham said: (Lo! I am a fugitive unto my Lord) I am returning to the obedience of my Lord; and he left Harran for Palestine. (Lo! He, only He, is the Mighty) in retribution against them, (the Wise) He decreed that one should move from one country to another for growth and the protection of one's religion."
3367,29,27,ibn_abbas,وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ وَجَعَلْنَا فِي ذُرِّيَّتِهِ ٱلنُّبُوَّةَ وَٱلْكِتَابَ وَآتَيْنَاهُ أَجْرَهُ فِي ٱلدُّنْيَا وَإِنَّهُ فِي ٱلآخِرَةِ لَمِنَ ٱلصَّالِحِينَ,"(And We bestowed on him) on Abraham (Isaac) as a son (and Jacob) as a grandson, (and We established the prophethood and the Scripture among his seed) He says: We honoured his progeny with prophethood and Scriptures and righteous offspring; for there were among them prophets and Scriptures, (and We gave him his reward in the world) We honoured him with prophethood, a good reputation and righteous offspring in this worldly life, (and lo! in the Hereafter he verily is among the righteous) with his forefathers, the messengers, in Paradise."
3368,29,28,ibn_abbas,وَلُوطاً إِذْ قَالَ لِقَوْمِهِ إِنَّكُمْ لَتَأْتُونَ ٱلْفَاحِشَةَ مَا سَبَقَكُمْ بِهَا مِنْ أَحَدٍ مِّنَ ٱلْعَالَمِينَ,(And Lot!) We sent Lot to his folk ((Remember) when he said unto his folk: Lo! ye commit lewdness) sodomy (such as no creature did before you) He said: no one before has ever committed your abominable act.
3369,29,29,ibn_abbas,أَئِنَّكُمْ لَتَأْتُونَ ٱلرِّجَالَ وَتَقْطَعُونَ ٱلسَّبِيلَ وَتَأْتُونَ فِي نَادِيكُمُ ٱلْمُنْكَرَ فَمَا كَانَ جَوَابَ قَوْمِهِ إِلاَّ أَن قَالُواْ ٱئْتِنَا بِعَذَابِ ٱللَّهِ إِن كُنتَ مِنَ ٱلصَّادِقِينَ,"(For come ye not in unto males) do you not have sexual intercourse with men, (and cut ye not the road (for travellers)) and it is also said that this means: you cut off the continuation of progeny by your abominable act, (and commit ye not abomination in your meetings) they used to indulge in ten different kinds of indecency? (But the answer of his folk) the folk of Lot (was only that they said: Bring Allah's doom upon us if thou art a truth-teller) if you are true that we will be punished unless we accept faith!"
3370,29,30,ibn_abbas,قَالَ رَبِّ ٱنصُرْنِي عَلَى ٱلْقَوْمِ ٱلْمُفْسِدِينَ,(He said) Lot said: (My Lord! Give me victory) by sending Your punishment (over folk who work corruption) on the idolaters.
3371,29,31,ibn_abbas,وَلَمَّا جَآءَتْ رُسُلُنَآ إِبْرَاهِيمَ بِٱلْبُشْرَىٰ قَالُوۤاْ إِنَّا مُهْلِكُوۤ أَهْلِ هَـٰذِهِ ٱلْقَرْيَةِ إِنَّ أَهْلَهَا كَانُواْ ظَالِمِينَ,"(And when Our messengers) Gabriel and the angels who were with him (brought Abraham the good news) that he will have a son, (they said) to Abraham: (Lo! we are about to destroy the people of that township) the township of Lot, (for its people are wrong-doers) they are idolaters who brought destruction upon themselves because of their abominable acts."
3372,29,32,ibn_abbas,قَالَ إِنَّ فِيهَا لُوطاً قَالُواْ نَحْنُ أَعْلَمُ بِمَن فِيهَا لَنُنَجِّيَنَّهُ وَأَهْلَهُ إِلاَّ ٱمْرَأَتَهُ كَانَتْ مِنَ ٱلْغَابِرِينَ,"(He said) Abraham said: (Lo! Lot is there) so how could you destroy them, O Gabriel? (They) i.e. Gabriel and the angels with him (said: We are best aware of who is there. We are to deliver him and his household) his daughters Za'ura and Raytha, (all save his wife) Wa'ilah the hypocrite, (who is of those who stay behind) and be destroyed."
3373,29,33,ibn_abbas,وَلَمَّآ أَن جَآءَتْ رُسُلُنَا لُوطاً سِيءَ بِهِمْ وَضَاقَ بِهِمْ ذَرْعاً وَقَالُواْ لاَ تَخَفْ وَلاَ تَحْزَنْ إِنَّا مُنَجُّوكَ وَأَهْلَكَ إِلاَّ ٱمْرَأَتَكَ كَانَتْ مِنَ ٱلْغَابِرينَ,"(And when Our messengers) Gabriel and the angels who were with him (came unto Lot, he was troubled upon their account) he disliked their coming, (for he could not protect them) from the abominable act of his people; (but they) Gabriel and the angels (said: Fear not) for us, (nor grieve) about us, for fear of our peril! (Lo! we are to deliver you) from your people (and your household) and your two daughters, ((all) save your wife) the hypocrite, (who is of those who stay behind) and be destroyed."
